date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:08	30773/30773	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2008:48:06%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html	(from )
14:18:09	1002/1002	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2008:48:07%20GMT	https://p.w3layouts.com/robots.txt		(from )
14:18:11	141622/141622	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/bootstrap.css	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:11	33922/33922	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/style.css	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/style.css	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:12	84345/84345	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/js/jquery-2.1.4.min.js	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/js/jquery-2.1.4.min.js	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:13	17407/17407	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/lightGallery.css	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/lightGallery.css	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:13	4964/4964	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/flexslider.css	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/flexslider.css	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:14	29062/29062	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/font-awesome.min.css	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:14	55045/55045	---MCZ	200	added ('OK')	application/javascript	etag:W/%22280c280b07e4ecffd266fde0d5f332ac%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/gradute/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:16	24793/24793	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Oct%202019%2013:27:18%20GMT	https://p.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/gradute/p.w3layouts.com/js/autotrack.js	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:17	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/gradute/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:21	64252/64252	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:19:19%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/1.jpg	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/1.jpg	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:21	50329/50329	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/1.png	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/1.png	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:25	54655/54655	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/3.png	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/3.png	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:25	40337/40337	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2019:00:11%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/2.png	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/2.png	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:26	50541/50541	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:19:19%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/7.jpg	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/7.jpg	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:27	40461/40461	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:19:19%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/5.jpg	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/5.jpg	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:27	88163/88163	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:19:19%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/6.jpg	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/6.jpg	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
14:18:28	43680/43680	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:19:19%20GMT	https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/8.jpg	C:/My%20Web%20Sites/gradute/p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/images/8.jpg	(from https://p.w3layouts.com/demos_new/18-01-2017/graduate-demo_Free/1508148118/web/index.html)
